location	supragingival_plaque	supragingival_plaque	supragingival_plaque	supragingival_plaque	tongue_dorsum	tongue_dorsum	tongue_dorsum	tongue_dorsum
k__Bacteria	100	100	100	100	100	100	100	100
k__Bacteria|p__Firmicutes	77.03556999999999	43.614309999999996	19.73808	10.88317	25.42628	39.280879999999996	63.404140000000005	21.57785
k__Bacteria|p__Actinobacteria	19.90806	27.57443	9.66976	48.924040000000005	24.41951	5.55585	6.74463	9.71082
k__Bacteria|p__Proteobacteria	2.24613	25.61151	64.50809	4.68679	25.45869	24.06108	29.851229999999997	9.55454
k__Bacteria|p__Bacteroidetes	0.81024	0	2.07302	17.360979999999998	14.64809	26.652790000000003	0	30.08118
k__Bacteria|p__Firmicutes|c__Bacilli	77.03556999999999	38.93847	18.86271	0	0	8.70706	45.788579999999996	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia	19.90806	27.57443	9.66976	48.924040000000005	24.41951	5.55585	6.74463	3.3593699999999997
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1.15594	10.795630000000001	0	2.63266	21.8288	15.12829	0	6.23021
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1.09018	14.815879999999998	64.50809	2.0541400000000003	0	8.932789999999999	29.851229999999997	3.3243300000000002
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.81024	0	0	7.432510000000001	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	77.03556999999999	38.93847	18.86271	0	0	8.70706	39.29273	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	10.91205	4.09365	0	0.47496000000000005	24.41951	2.55496	0	2.2696
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1.15594	10.795630000000001	0	1.0875700000000001	21.8288	15.12829	0	6.23021
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	1.09018	14.815879999999998	64.50809	2.0541400000000003	0	8.932789999999999	29.851229999999997	3.3243300000000002
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0.81024	0	0	7.432510000000001	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	68.06633000000001	9.20606	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae	10.91205	4.09365	0	0.47496000000000005	24.41951	2.55496	0	2.2696
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	8.96925	29.732409999999998	18.86271	0	0	6.82835	33.34033	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae	6.49714	23.48078	9.66976	45.48265	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	1.15594	10.795630000000001	0	1.0875700000000001	21.8288	15.12829	0	6.23021
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	1.09018	14.815879999999998	64.50809	2.0541400000000003	0	8.932789999999999	29.851229999999997	3.3243300000000002
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	0.81024	0	0	7.432510000000001	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__GGB10485	68.06633000000001	9.20606	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	10.91205	4.09365	0	0	24.41951	2.55496	0	2.2696
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	8.96925	29.732409999999998	18.86271	0	0	6.82835	33.34033	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium	6.49714	23.48078	9.66976	45.48265	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Rothia	2.4988599999999996	0	0	2.96643	0	3.00089	6.74463	1.0897700000000001
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Kingella	1.15594	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	1.09018	14.815879999999998	63.90668	2.0541400000000003	0	8.932789999999999	29.851229999999997	3.3243300000000002
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga	0.81024	0	0	7.432510000000001	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__GGB10485|s__GGB10485_SGB49305	68.06633000000001	9.20606	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris	10.91205	4.09365	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sanguinis	5.98551	7.761539999999999	11.329889999999999	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_matruchotii	3.6641	23.48078	9.66976	45.48265	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis	2.98374	13.47826	7.53282	0	0	0	0	0
